target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,all,4,0.7359650731086731,0.6758090257644653,0.6830382347106934
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,0,0.7062579393386841,0.7099447250366211,0.7350085973739624
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,1,0.7948517203330994,0.7182320356369019,0.7007424235343933
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,2,0.6934206485748291,0.7259273529052734,0.7464306354522705
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,3,0.7498210668563843,0.7016574740409851,0.780125617980957
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,4,0.7282032370567322,0.6852802038192749,0.6767561435699463
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,simple_rotate,0,0.8328603506088257,0.7584846019744873,0.6876070499420166
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,simple_rotate,1,0.8157964944839478,0.7136937379837036,0.684751570224762
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,simple_rotate,2,0.6818203926086426,0.7448697686195374,0.7584238052368164
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,simple_rotate,3,0.7561396956443787,0.6846882104873657,0.7435750961303711
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,simple_rotate,4,0.7567884922027588,0.7038279175758362,0.6887493133544922
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,0,0.8611849546432495,0.8047553300857544,0.7355797290802002
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,1,0.8321447968482971,0.7814719676971436,0.7886921763420105
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,2,0.8527621626853943,0.830899715423584,0.7669903039932251
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,3,0.9126614332199097,0.8245856165885925,0.7652769684791565
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,4,0.8909769058227539,0.801598310470581,0.780125617980957
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_slidewise,0,0.8198350667953491,0.7801893949508667,0.7949743270874023
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_slidewise,1,0.8315929770469666,0.7813733816146851,0.8115362524986267
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_slidewise,2,0.8055605888366699,0.79222571849823,0.7675614356994629
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_slidewise,3,0.8270571231842041,0.8116613626480103,0.8012564182281494
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_slidewise,4,0.888175368309021,0.7763417363166809,0.7470016479492188
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,all,0,0.8402947187423706,0.8339581489562988,0.8129639625549316
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,all,1,0.8534533977508545,0.8339582085609436,0.7230154275894165
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,all,2,0.8494815230369568,0.8394830226898193,0.7401484847068787
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,all,3,0.8330786824226379,0.8429360389709473,0.7841233611106873
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,all,4,0.8810927271842957,0.8514206409454346,0.8081096410751343
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,0,0.8050512075424194,0.8351421356201172,0.7732723951339722
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,1,0.8303923606872559,0.8390884399414062,0.7869788408279419
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,2,0.8396337628364563,0.8230071067810059,0.7875499725341797
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,3,0.850663959980011,0.8346487879753113,0.7755568027496338
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,4,0.8892244100570679,0.8528019189834595,0.7669903039932251
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,simple_rotate,0,0.8113152384757996,0.8230071067810059,0.7709879875183105
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,simple_rotate,1,0.8387060165405273,0.8208365440368652,0.7898343801498413
