magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0019946694
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03061229
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06526315
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04399997
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.011895418
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.021577418
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.048703313
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0152926445
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008333325
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.021999955
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.015957534
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.009999931
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.046542525
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.08928573
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-5.9604645e-08
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.014692426
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.020866752
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03571427
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.056865513
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008097291
