feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,SMAD4,0.15051019
swin,AttentionMIL,low,SMAD4,0.14591593
swin,AttentionMIL,low,SMAD4,0.058415353
swin,AttentionMIL,low,SMAD4,0.08110124
swin,AttentionMIL,low,SMAD4,0.1094445
swin,AttentionMIL,low,SMAD4,0.10743803
swin,AttentionMIL,low,SMAD4,0.052631557
swin,AttentionMIL,low,SMAD4,0.1095041
swin,AttentionMIL,low,SMAD4,0.17870522
swin,AttentionMIL,low,SMAD4,0.22088957
swin,AttentionMIL,low,SMAD4,0.29095507
swin,AttentionMIL,low,SMAD4,0.16070181
swin,AttentionMIL,low,SMAD4,-0.06781912
swin,AttentionMIL,low,SMAD4,-0.014274389
swin,AttentionMIL,low,SMAD4,-0.17640257
swin,AttentionMIL,low,SMAD4,0.038858056
swin,AttentionMIL,low,SMAD4,-0.031999946
swin,AttentionMIL,low,SMAD4,-0.023809552
swin,AttentionMIL,low,SMAD4,-0.13388884
swin,AttentionMIL,low,SMAD4,-0.038647413
swin,AttentionMIL,low,SMAD4,-0.09722221
swin,AttentionMIL,low,SMAD4,-0.17220747
swin,AttentionMIL,low,SMAD4,-0.106666684
swin,AttentionMIL,low,SMAD4,-0.041223407
swin,AttentionMIL,low,SMAD4,-0.23138306
swin,AttentionMIL,low,SMAD4,-0.111394644
swin,AttentionMIL,low,SMAD4,-0.10864395
swin,AttentionMIL,low,SMAD4,-0.14864087
swin,AttentionMIL,low,SMAD4,-0.17261904
swin,AttentionMIL,low,SMAD4,-0.061666608
swin,AttentionMIL,low,SMAD4,-0.16161618
swin,AttentionMIL,low,SMAD4,-0.07807982
swin,AttentionMIL,low,SMAD4,-0.10072315
swin,AttentionMIL,low,SMAD4,-0.08400214
swin,AttentionMIL,low,SMAD4,-0.023488164
swin,AttentionMIL,low,SMAD4,-0.23339659
swin,AttentionMIL,low,SMAD4,-0.25122803
swin,AttentionMIL,low,lymph,0.04188949
swin,AttentionMIL,low,lymph,0.08548164
swin,AttentionMIL,low,lymph,-0.027252793
swin,AttentionMIL,low,lymph,-0.028571367
swin,AttentionMIL,low,lymph,0.013957262
swin,AttentionMIL,low,lymph,0.13546425
swin,AttentionMIL,low,lymph,-0.040081203
swin,AttentionMIL,low,lymph,0.004079938
swin,AttentionMIL,low,lymph,0.005974233
swin,AttentionMIL,low,lymph,-0.020473719
swin,AttentionMIL,low,lymph,-0.01188463
swin,AttentionMIL,low,lymph,-0.0496006
swin,AttentionMIL,low,lymph,0.033484876
swin,AttentionMIL,low,lymph,-0.054166675
swin,AttentionMIL,low,lymph,-0.103838325
swin,AttentionMIL,low,lymph,0.058333397
swin,AttentionMIL,low,lymph,-0.017003655
swin,AttentionMIL,low,lymph,0.04000002
swin,AttentionMIL,low,lymph,0.0064338446
swin,AttentionMIL,low,lymph,0.03431368
swin,AttentionMIL,low,lymph,-0.03572929
swin,AttentionMIL,low,lymph,-0.08166659
swin,AttentionMIL,low,lymph,-0.019016147
swin,AttentionMIL,low,lymph,0.06650251
swin,AttentionMIL,low,lymph,0.007912099
swin,AttentionMIL,low,lymph,-0.03774345
swin,AttentionMIL,low,lymph,-0.01930499
swin,AttentionMIL,low,lymph,-0.084201455
swin,AttentionMIL,low,lymph,-0.059895813
swin,AttentionMIL,low,lymph,-0.017588973
swin,AttentionMIL,low,lymph,-0.105834424
swin,AttentionMIL,low,lymph,-0.12662333
swin,AttentionMIL,low,lymph,-0.053333282
swin,AttentionMIL,low,lymph,-0.11937791
swin,AttentionMIL,low,lymph,-0.05595815
swin,AttentionMIL,low,lymph,-0.03140092
swin,AttentionMIL,low,lymph,0.001201868
swin,AttentionMIL,low,lymph,-0.01953125
swin,AttentionMIL,low,lymph,-0.11412144
swin,AttentionMIL,low,lymph,-0.14020193
swin,AttentionMIL,low,lymph,-0.12900645
swin,AttentionMIL,low,lymph,-0.05507958
swin,AttentionMIL,low,lymph,-0.16686678
swin,AttentionMIL,low,lymph,0.010673165
swin,AttentionMIL,low,lymph,0.14249688
swin,AttentionMIL,low,lymph,0.0008159876
swin,AttentionMIL,low,lymph,-0.11699498
swin,AttentionMIL,low,lymph,0.06522608
swin,AttentionMIL,low,lymph,-0.0044642687
swin,AttentionMIL,low,lymph,-0.079307616
swin,AttentionMIL,low,lymph,0.1608321
swin,AttentionMIL,low,lymph,0.05783862
swin,AttentionMIL,low,lymph,0.19146669
swin,AttentionMIL,low,lymph,0.10400003
swin,AttentionMIL,low,lymph,0.13924056
swin,AttentionMIL,low,lymph,0.06265175
swin,AttentionMIL,low,lymph,0.09771311
swin,AttentionMIL,low,lymph,0.100311875
swin,AttentionMIL,low,lymph,0.02505815
swin,AttentionMIL,low,lymph,0.063241065
swin,AttentionMIL,low,lymph,0.11538458
swin,AttentionMIL,low,lymph,0.09032643
swin,AttentionMIL,low,lymph,0.22696477
swin,AttentionMIL,low,lymph,0.14165604
swin,AttentionMIL,low,lymph,0.23026317
swin,AttentionMIL,low,lymph,0.19852936
swin,AttentionMIL,low,lymph,0.08004165
swin,AttentionMIL,low,lymph,0.26560003
swin,AttentionMIL,low,lymph,0.15973479
