magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.047872365
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0044444203
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.003000021
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0013297796
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.010555506
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0019947886
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.011054456
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.011473477
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.040403962
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03049761
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009353697
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.029126167
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.021399617
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.05917871
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.037439585
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.020555556
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.060990334
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0036730766
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.049202144
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.028061152
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.081403494
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.011999965
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.058683634
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04389876
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.058823586
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.12699473
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.053888857
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.061999917
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.024601102
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04666674
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.11436176
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07227898
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.062198043
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.039485693
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.024612129
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.13265312
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03744799
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.016194344
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.012681186
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.001811564
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.028333306
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.059782565
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.034894407
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.049202144
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.012755036
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0056140423
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.038999915
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06740683
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.007440448
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.057558477
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03590417
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.028333306
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.01999998
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.042553127
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03666669
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.017952085
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.044217706
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03683567
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.101010144
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0155164
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.020408154
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.018030524
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.044534385
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0012078285
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.09239137
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.11722225
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.071859956
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.037649214
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.05784583
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.09353745
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.025964856
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.049999952
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.028548717
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06398809
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.1018343
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12300527
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0688889
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.13
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.10039902
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.01222229
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03324467
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.082482934
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.06702906
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.13314974
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.107544184
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.10289109
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.04715675
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.08270675
