feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,lymph,-0.046387553
swin,AttentionMIL,low,lymph,0.077343404
swin,AttentionMIL,low,lymph,-0.043655634
swin,AttentionMIL,low,lymph,-0.049260974
swin,AttentionMIL,low,lymph,-0.06602645
swin,AttentionMIL,low,lymph,0.055600643
swin,AttentionMIL,low,lymph,0.055555582
swin,AttentionMIL,low,lymph,0.007103026
swin,AttentionMIL,low,lymph,0.016235411
swin,AttentionMIL,low,lymph,0.010666668
swin,AttentionMIL,low,lymph,0.093866706
swin,AttentionMIL,low,lymph,0.025919259
swin,AttentionMIL,low,lymph,-0.085964024
swin,AttentionMIL,low,lymph,-0.10758829
swin,AttentionMIL,low,lymph,0.029625773
swin,AttentionMIL,low,lymph,-0.04662013
swin,AttentionMIL,low,lymph,0.045172215
swin,AttentionMIL,low,lymph,-0.003118515
swin,AttentionMIL,low,lymph,-0.013403237
swin,AttentionMIL,low,lymph,0.046070516
swin,AttentionMIL,low,lymph,0.061370254
swin,AttentionMIL,low,lymph,0.040021956
swin,AttentionMIL,low,lymph,0.03124994
swin,AttentionMIL,low,lymph,0.0597713
swin,AttentionMIL,low,lymph,0.16800004
swin,AttentionMIL,low,lymph,0.090415955
swin,AttentionMIL,low,lymph,-0.008438826
swin,AttentionMIL,low,lymph,0.06613332
swin,AttentionMIL,low,lymph,0.048115015
swin,AttentionMIL,low,lymph,0.02653861
swin,AttentionMIL,low,lymph,-0.07925403
swin,AttentionMIL,low,lymph,0.09649122
swin,AttentionMIL,low,lymph,0.053366184
swin,AttentionMIL,low,lymph,0.027252734
swin,AttentionMIL,low,lymph,0.017589092
swin,AttentionMIL,low,lymph,-0.06196934
swin,AttentionMIL,low,lymph,0.02702701
swin,AttentionMIL,low,lymph,0.042042017
swin,AttentionMIL,low,lymph,0.0634191
swin,AttentionMIL,low,lymph,0.013582349
swin,AttentionMIL,low,lymph,0.0018091202
swin,AttentionMIL,low,lymph,0.00041663647
swin,AttentionMIL,low,lymph,0.0017158985
swin,AttentionMIL,low,lymph,0.049538672
swin,AttentionMIL,low,lymph,-0.051479995
swin,AttentionMIL,low,lymph,0.06748724
swin,AttentionMIL,low,lymph,0.042197883
swin,AttentionMIL,low,lymph,0.042100728
swin,AttentionMIL,low,lymph,-0.020408213
swin,AttentionMIL,low,lymph,0.0028179884
swin,AttentionMIL,low,lymph,0.055341065
swin,AttentionMIL,low,lymph,0.058288574
swin,AttentionMIL,low,lymph,0.03613007
swin,AttentionMIL,low,lymph,-0.050909042
swin,AttentionMIL,low,lymph,-0.0044445395
swin,AttentionMIL,low,lymph,-0.08506942
swin,AttentionMIL,low,lymph,0.0840404
swin,AttentionMIL,low,lymph,0.009650767
swin,AttentionMIL,low,lymph,-0.011666596
swin,AttentionMIL,low,lymph,-0.025041044
swin,AttentionMIL,low,lymph,0.039339602
swin,AttentionMIL,low,lymph,-0.06666666
swin,AttentionMIL,low,lymph,-0.015416682
swin,AttentionMIL,low,lymph,0.014400065
swin,AttentionMIL,low,lymph,0.03119427
swin,AttentionMIL,low,lymph,-0.025041103
swin,AttentionMIL,low,lymph,-0.025974035
swin,AttentionMIL,low,lymph,-0.008680582
swin,AttentionMIL,low,lymph,0.0082678795
swin,AttentionMIL,low,lymph,5.9604645e-08
swin,AttentionMIL,low,lymph,-0.032540083
swin,AttentionMIL,low,lymph,-0.020833373
swin,AttentionMIL,low,lymph,-0.021098852
swin,AttentionMIL,low,lymph,-0.0030030608
swin,AttentionMIL,low,lymph,-0.00242424
swin,AttentionMIL,low,lymph,-0.008333325
swin,AttentionMIL,low,lymph,-0.026250005
swin,AttentionMIL,low,lymph,-0.066924036
swin,AttentionMIL,low,lymph,-0.04105085
swin,AttentionMIL,low,lymph,-0.024379969
swin,AttentionMIL,low,lymph,-0.026382506
swin,AttentionMIL,low,lymph,-0.010402441
swin,AttentionMIL,low,TP53,-0.01178515
swin,AttentionMIL,low,TP53,-0.049568415
swin,AttentionMIL,low,TP53,0.07440561
swin,AttentionMIL,low,TP53,0.025173664
swin,AttentionMIL,low,TP53,-0.05506122
swin,AttentionMIL,low,TP53,-0.03139764
swin,AttentionMIL,low,TP53,-0.009093523
swin,AttentionMIL,low,TP53,0.06840932
swin,AttentionMIL,low,TP53,-0.0109426975
swin,AttentionMIL,low,TP53,0.005859256
swin,AttentionMIL,low,TP53,0.012626231
swin,AttentionMIL,low,TP53,0.0016835332
swin,AttentionMIL,low,TP53,-0.05506122
swin,AttentionMIL,low,TP53,-0.011974335
swin,AttentionMIL,low,TP53,-0.0654414
swin,AttentionMIL,low,TP53,-0.037895918
swin,AttentionMIL,low,TP53,-0.032618523
swin,AttentionMIL,low,TP53,-0.038461566
swin,AttentionMIL,low,TP53,0.012632251
swin,AttentionMIL,low,TP53,0.007407427
swin,AttentionMIL,low,TP53,-0.027229786
swin,AttentionMIL,low,TP53,-0.045568228
swin,AttentionMIL,low,TP53,-0.024884343
swin,AttentionMIL,low,TP53,0.021333337
swin,AttentionMIL,low,TP53,-0.046875
swin,AttentionMIL,low,TP53,-0.034205317
swin,AttentionMIL,low,TP53,-0.016151547
swin,AttentionMIL,low,TP53,-0.14321676
swin,AttentionMIL,low,TP53,-0.06799775
swin,AttentionMIL,low,TP53,-0.03865403
swin,AttentionMIL,low,TP53,-0.005279243
swin,AttentionMIL,low,TP53,-0.07928395
swin,AttentionMIL,low,TP53,-0.07703006
swin,AttentionMIL,low,TP53,-0.08108866
swin,AttentionMIL,low,TP53,-0.05050224
swin,AttentionMIL,low,TP53,-0.072951734
swin,AttentionMIL,low,TP53,-0.06060615
swin,AttentionMIL,low,TP53,-0.035317063
swin,AttentionMIL,low,TP53,-0.041771114
swin,AttentionMIL,low,TP53,-0.025341153
swin,AttentionMIL,low,TP53,-0.08342761
swin,AttentionMIL,low,TP53,-0.07550591
swin,AttentionMIL,low,TP53,-0.017816663
swin,AttentionMIL,low,TP53,-0.059048206
swin,AttentionMIL,low,TP53,-0.049777746
swin,AttentionMIL,low,TP53,-0.040288985
swin,AttentionMIL,low,TP53,-0.01389277
swin,AttentionMIL,low,TP53,-0.0775463
swin,AttentionMIL,low,TP53,-0.096000046
swin,AttentionMIL,low,TP53,0.0119977
swin,AttentionMIL,low,TP53,0.102615714
swin,AttentionMIL,low,TP53,0.10192144
swin,AttentionMIL,low,TP53,0.082517505
swin,AttentionMIL,low,TP53,0.06221068
swin,AttentionMIL,low,TP53,0.090378165
swin,AttentionMIL,low,TP53,0.07807723
swin,AttentionMIL,low,TP53,0.07956809
