augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04837364
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03636366
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.030092657
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1630727
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03856176
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09041393
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.047618985
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10425365
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10822511
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.05647689
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043251634
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015238047
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11388141
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14234364
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.037692845
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.007999957
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013499975
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07249993
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04086536
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.013548732
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.054500043
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08221018
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07726008
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11079395
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.099999964
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05587989
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.097272694
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13966054
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0195418
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.06930685
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.059368253
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13396823
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0033361316
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.018759012
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.18153286
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07347572
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07301587
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.051212907
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09992808
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.034266174
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.042105258
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08549994
